user_number,session_group,trialIndex,tubeTypeIndex,tip_direction,face_id,faceSide,towards_away,raw_angle,latency
1,AT004,0,3,right,ID001,right,towards,8,131477
1,AT004,1,3,right,ID001,left,away,31,15423
1,AT004,2,2,left,ID001,right,away,-9,8576
1,AT004,3,0,right,ID001,right,towards,8,12687
1,AT004,4,0,left,ID001,left,towards,-10,9344
1,AT004,5,0,left,ID022,left,towards,-11,14623
1,AT004,6,1,left,ID001,left,towards,-27,14016
1,AT004,7,0,right,ID001,left,away,11,7344
1,AT004,8,0,right,ID022,left,away,15,9967
1,AT004,9,0,right,ID022,right,towards,17,10280
1,AT004,10,1,left,ID001,right,away,-28,16777
1,AT004,11,3,right,ID022,left,away,36,15222
1,AT004,12,1,right,ID022,left,away,31,10112
1,AT004,13,0,left,ID001,right,away,-20,13079
1,AT004,14,2,right,ID022,right,towards,24,11917
1,AT004,15,1,right,ID001,right,towards,37,12641
1,AT004,16,2,left,ID022,left,towards,-19,9128
1,AT004,17,1,right,ID022,right,towards,32,11629
1,AT004,18,2,left,ID022,right,away,-20,9039
1,AT004,19,2,right,ID001,right,towards,24,8737
1,AT004,20,1,left,ID022,left,towards,-37,11761
1,AT004,21,3,right,ID022,right,towards,39,13190
1,AT004,22,2,right,ID022,left,away,18,10418
1,AT004,23,3,left,ID022,right,away,-54,10990
1,AT004,24,3,left,ID022,left,towards,-53,11431
1,AT004,25,3,left,ID001,right,away,-47,13199
1,AT004,26,3,left,ID001,left,towards,-52,8983
1,AT004,27,0,left,ID022,right,away,-19,8431
1,AT004,28,2,left,ID001,left,towards,-20,9055
1,AT004,29,1,left,ID022,right,away,-36,10327
1,AT004,30,1,right,ID001,left,away,32,8744
1,AT004,31,2,right,ID001,left,away,17,8256
2,AT004,0,2,left,ID001,left,towards,-5,12942
2,AT004,1,1,left,ID001,left,towards,-6,5448
2,AT004,2,1,left,ID001,right,away,-6,7256
2,AT004,3,2,left,ID022,right,away,-5,6665
2,AT004,4,1,right,ID001,right,towards,11,6854
2,AT004,5,0,left,ID001,left,towards,-8,2519
2,AT004,6,0,left,ID022,left,towards,-11,3449
2,AT004,7,3,right,ID022,left,away,-7,3153
2,AT004,8,3,left,ID022,right,away,-6,2356
2,AT004,9,1,right,ID022,right,towards,7,2667
2,AT004,10,1,right,ID001,left,away,12,4763
2,AT004,11,1,left,ID022,left,towards,-15,2756
2,AT004,12,2,right,ID001,left,away,6,2612
2,AT004,13,0,left,ID001,right,away,-13,3185
2,AT004,14,3,left,ID022,left,towards,-9,2300
2,AT004,15,1,right,ID022,left,away,11,2495
2,AT004,16,3,right,ID001,right,towards,7,2187
2,AT004,17,3,right,ID022,right,towards,19,2742
2,AT004,18,2,right,ID022,left,away,8,2455
2,AT004,19,2,right,ID022,right,towards,12,2312
2,AT004,20,1,left,ID022,right,away,-10,3359
2,AT004,21,0,left,ID022,right,away,-13,3542
2,AT004,22,2,left,ID001,right,away,-14,2632
2,AT004,23,0,right,ID001,left,away,8,2300
2,AT004,24,3,left,ID001,right,away,-14,3233
2,AT004,25,0,right,ID001,right,towards,15,3045
2,AT004,26,0,right,ID022,right,towards,13,2622
2,AT004,27,0,right,ID022,left,away,12,2922
2,AT004,28,2,left,ID022,left,towards,-10,4265
2,AT004,29,3,left,ID001,left,towards,-15,3508
2,AT004,30,3,right,ID001,left,away,15,3245
2,AT004,31,2,right,ID001,right,towards,19,2881
3,AT004,0,3,right,ID022,left,away,22,141972
3,AT004,1,1,left,ID001,left,towards,-7,6648
3,AT004,2,1,left,ID001,right,away,-11,8718
3,AT004,3,2,right,ID022,right,towards,13,9405
3,AT004,4,2,right,ID001,left,away,13,4455
3,AT004,5,3,left,ID022,right,away,-24,8100
3,AT004,6,3,right,ID022,right,towards,25,3824
3,AT004,7,2,left,ID022,left,towards,-15,2948
3,AT004,8,2,left,ID022,right,away,-15,4950
3,AT004,9,1,right,ID022,right,towards,26,5569
3,AT004,10,3,right,ID001,left,away,43,5838
3,AT004,11,1,right,ID022,left,away,23,3329
3,AT004,12,3,left,ID022,left,towards,-24,5163
3,AT004,13,0,left,ID001,left,towards,-12,3926
3,AT004,14,3,right,ID001,right,towards,34,3487
3,AT004,15,2,right,ID022,left,away,14,3375
3,AT004,16,1,right,ID001,left,away,20,4478
3,AT004,17,1,left,ID022,right,away,-19,3858
3,AT004,18,0,left,ID022,left,towards,-10,2171
3,AT004,19,2,left,ID001,right,away,-17,2486
3,AT004,20,0,left,ID001,right,away,-9,2486
3,AT004,21,0,right,ID001,right,towards,12,2059
3,AT004,22,0,right,ID022,right,towards,13,2587
3,AT004,23,0,left,ID022,right,away,-17,2193
3,AT004,24,2,left,ID001,left,towards,-24,3308
3,AT004,25,3,left,ID001,right,away,-38,3476
