user_number,face_id,tubeTypeIndex,pair_type,d
2,ID017,2,FaceLeft,1
2,ID017,2,FaceRight,5
2,ID017,1,FaceLeft,6
2,ID017,1,FaceRight,5
2,ID017,0,FaceLeft,0
2,ID017,0,FaceRight,2
2,ID017,3,FaceLeft,0
2,ID017,3,FaceRight,7
2,ID015,2,FaceLeft,2
2,ID015,2,FaceRight,7
2,ID015,0,FaceLeft,1
2,ID015,0,FaceRight,0
2,ID015,3,FaceRight,13
2,ID015,1,FaceLeft,4
2,ID015,1,FaceRight,3
3,ID015,3,FaceLeft,2
3,ID015,3,FaceRight,1
3,ID015,2,FaceLeft,1
3,ID015,2,FaceRight,2
3,ID015,1,FaceLeft,5
3,ID015,1,FaceRight,7
3,ID015,0,FaceLeft,5
3,ID015,0,FaceRight,4
3,ID017,1,FaceLeft,13
3,ID017,1,FaceRight,11
3,ID017,2,FaceLeft,11
3,ID017,2,FaceRight,10
3,ID017,0,FaceLeft,3
3,ID017,0,FaceRight,3
3,ID017,3,FaceRight,4
4,ID017,2,FaceLeft,1
4,ID017,2,FaceRight,1
4,ID017,0,FaceLeft,1
4,ID017,0,FaceRight,3
4,ID017,1,FaceLeft,3
4,ID017,1,FaceRight,1
4,ID017,3,FaceRight,4
4,ID015,2,FaceLeft,1
4,ID015,2,FaceRight,0
4,ID015,3,FaceLeft,3
4,ID015,3,FaceRight,9
4,ID015,1,FaceLeft,4
4,ID015,1,FaceRight,0
4,ID015,0,FaceLeft,2
4,ID015,0,FaceRight,2
5,ID015,1,FaceLeft,8
5,ID015,1,FaceRight,4
5,ID015,3,FaceLeft,1
5,ID015,3,FaceRight,15
5,ID015,0,FaceLeft,1
5,ID015,0,FaceRight,6
5,ID015,2,FaceLeft,2
5,ID015,2,FaceRight,0
5,ID017,0,FaceLeft,5
5,ID017,0,FaceRight,0
5,ID017,3,FaceLeft,9
5,ID017,3,FaceRight,4
5,ID017,2,FaceLeft,0
5,ID017,2,FaceRight,1
5,ID017,1,FaceLeft,0
5,ID017,1,FaceRight,1
9,ID017,0,FaceLeft,1
9,ID017,0,FaceRight,7
9,ID017,2,FaceLeft,3
9,ID017,2,FaceRight,4
9,ID017,1,FaceLeft,9
9,ID017,1,FaceRight,1
9,ID017,3,FaceLeft,2
9,ID017,3,FaceRight,1
9,ID015,2,FaceLeft,1
9,ID015,2,FaceRight,7
9,ID015,0,FaceLeft,1
9,ID015,0,FaceRight,4
9,ID015,3,FaceLeft,3
9,ID015,3,FaceRight,2
9,ID015,1,FaceRight,0
10,ID017,0,FaceLeft,1
10,ID017,3,FaceLeft,3
10,ID017,3,FaceRight,5
10,ID017,2,FaceLeft,0
10,ID017,1,FaceLeft,0
10,ID017,1,FaceRight,3
10,ID015,0,FaceLeft,1
10,ID015,0,FaceRight,1
10,ID015,2,FaceLeft,1
10,ID015,2,FaceRight,0
10,ID015,1,FaceLeft,0
10,ID015,1,FaceRight,1
10,ID015,3,FaceLeft,7
10,ID015,3,FaceRight,1
11,ID017,0,FaceLeft,6
11,ID017,0,FaceRight,3
11,ID017,2,FaceLeft,5
11,ID017,2,FaceRight,5
11,ID017,3,FaceLeft,5
11,ID017,3,FaceRight,5
11,ID017,1,FaceLeft,8
11,ID017,1,FaceRight,12
11,ID015,0,FaceLeft,8
11,ID015,0,FaceRight,6
11,ID015,2,FaceLeft,2
11,ID015,2,FaceRight,17
11,ID015,1,FaceLeft,6
11,ID015,1,FaceRight,7
11,ID015,3,FaceLeft,10
11,ID015,3,FaceRight,2
15,ID015,1,FaceLeft,2
15,ID015,1,FaceRight,6
15,ID015,0,FaceRight,1
15,ID015,2,FaceLeft,0
15,ID015,2,FaceRight,1
15,ID015,3,FaceLeft,1
15,ID015,3,FaceRight,1
15,ID017,3,FaceLeft,0
15,ID017,3,FaceRight,7
15,ID017,0,FaceLeft,1
15,ID017,0,FaceRight,0
15,ID017,1,FaceLeft,5
15,ID017,1,FaceRight,3
15,ID017,2,FaceLeft,2
17,ID015,0,FaceLeft,5
17,ID015,0,FaceRight,3
17,ID015,3,FaceLeft,2
17,ID015,3,FaceRight,2
17,ID015,1,FaceLeft,1
17,ID015,1,FaceRight,4
17,ID015,2,FaceLeft,5
17,ID015,2,FaceRight,4
17,ID017,1,FaceLeft,6
17,ID017,1,FaceRight,7
17,ID017,2,FaceLeft,1
17,ID017,2,FaceRight,3
17,ID017,0,FaceLeft,1
17,ID017,0,FaceRight,6
17,ID017,3,FaceLeft,4
17,ID017,3,FaceRight,0
19,ID015,0,FaceLeft,2
19,ID015,0,FaceRight,0
19,ID015,2,FaceLeft,3
19,ID015,2,FaceRight,7
19,ID015,1,FaceLeft,0
19,ID015,1,FaceRight,14
19,ID015,3,FaceLeft,2
19,ID015,3,FaceRight,2
19,ID017,0,FaceLeft,2
19,ID017,0,FaceRight,8
19,ID017,2,FaceLeft,3
19,ID017,2,FaceRight,10
19,ID017,3,FaceLeft,8
19,ID017,3,FaceRight,7
19,ID017,1,FaceLeft,0
19,ID017,1,FaceRight,2
21,ID017,1,FaceLeft,11
21,ID017,1,FaceRight,1
21,ID017,2,FaceLeft,2
21,ID017,2,FaceRight,0
21,ID017,3,FaceLeft,1
21,ID017,3,FaceRight,3
21,ID017,0,FaceLeft,3
21,ID017,0,FaceRight,2
21,ID015,0,FaceLeft,2
21,ID015,0,FaceRight,0
21,ID015,2,FaceLeft,4
21,ID015,2,FaceRight,0
21,ID015,1,FaceLeft,5
21,ID015,1,FaceRight,1
21,ID015,3,FaceLeft,4
21,ID015,3,FaceRight,1
23,ID015,1,FaceRight,8
23,ID015,0,FaceLeft,1
23,ID015,0,FaceRight,11
23,ID015,3,FaceLeft,19
23,ID015,2,FaceLeft,4
23,ID015,2,FaceRight,20
